 # Energia   DOS_Total   Transmitancia
   -4.5000000000E+00    3.3512314524E-04    0.0000000000E+00
   -4.4977500000E+00    3.3577642036E-04    0.0000000000E+00
   -4.4955000000E+00    3.3643178640E-04    0.0000000000E+00
   -4.4932500000E+00    3.3708925268E-04    0.0000000000E+00
   -4.4910000000E+00    3.3774882858E-04    0.0000000000E+00
   -4.4887500000E+00    3.3841052354E-04    0.0000000000E+00
   -4.4865000000E+00    3.3907434705E-04    0.0000000000E+00
   -4.4842500000E+00    3.3974030863E-04    0.0000000000E+00
   -4.4820000000E+00    3.4040841790E-04    0.0000000000E+00
   -4.4797500000E+00    3.4107868450E-04    0.0000000000E+00
   -4.4775000000E+00    3.4175111814E-04    0.0000000000E+00
   -4.4752500000E+00    3.4242572859E-04    0.0000000000E+00
   -4.4730000000E+00    3.4310252565E-04    0.0000000000E+00
   -4.4707500000E+00    3.4378151921E-04    0.0000000000E+00
   -4.4685000000E+00    3.4446271919E-04    0.0000000000E+00
   -4.4662500000E+00    3.4514613560E-04    0.0000000000E+00
   -4.4640000000E+00    3.4583177847E-04    0.0000000000E+00
   -4.4617500000E+00    3.4651965791E-04    0.0000000000E+00
   -4.4595000000E+00    3.4720978408E-04    0.0000000000E+00
   -4.4572500000E+00    3.4790216722E-04    0.0000000000E+00
   -4.4550000000E+00    3.4859681759E-04    0.0000000000E+00
   -4.4527500000E+00    3.4929374555E-04    0.0000000000E+00
   -4.4505000000E+00    3.4999296150E-04    0.0000000000E+00
   -4.4482500000E+00    3.5069447590E-04    0.0000000000E+00
   -4.4460000000E+00    3.5139829928E-04    0.0000000000E+00
   -4.4437500000E+00    3.5210444221E-04    0.0000000000E+00
   -4.4415000000E+00    3.5281291536E-04    0.0000000000E+00
   -4.4392500000E+00    3.5352372944E-04    0.0000000000E+00
   -4.4370000000E+00    3.5423689520E-04    0.0000000000E+00
   -4.4347500000E+00    3.5495242351E-04    0.0000000000E+00
   -4.4325000000E+00    3.5567032524E-04    0.0000000000E+00
   -4.4302500000E+00    3.5639061138E-04    0.0000000000E+00
   -4.4280000000E+00    3.5711329295E-04    0.0000000000E+00
   -4.4257500000E+00    3.5783838105E-04    0.0000000000E+00
   -4.4235000000E+00    3.5856588683E-04    0.0000000000E+00
   -4.4212500000E+00    3.5929582152E-04    0.0000000000E+00
   -4.4190000000E+00    3.6002819643E-04    0.0000000000E+00
   -4.4167500000E+00    3.6076302290E-04    0.0000000000E+00
   -4.4145000000E+00    3.6150031237E-04    0.0000000000E+00
   -4.4122500000E+00    3.6224007634E-04    0.0000000000E+00
   -4.4100000000E+00    3.6298232636E-04    0.0000000000E+00
   -4.4077500000E+00    3.6372707408E-04    0.0000000000E+00
   -4.4055000000E+00    3.6447433119E-04    0.0000000000E+00
   -4.4032500000E+00    3.6522410948E-04    0.0000000000E+00
   -4.4010000000E+00    3.6597642078E-04    0.0000000000E+00
   -4.3987500000E+00    3.6673127701E-04    0.0000000000E+00
   -4.3965000000E+00    3.6748869016E-04    0.0000000000E+00
   -4.3942500000E+00    3.6824867229E-04    0.0000000000E+00
   -4.3920000000E+00    3.6901123553E-04    0.0000000000E+00
   -4.3897500000E+00    3.6977639208E-04    0.0000000000E+00
   -4.3875000000E+00    3.7054415423E-04    0.0000000000E+00
   -4.3852500000E+00    3.7131453432E-04    0.0000000000E+00
   -4.3830000000E+00    3.7208754479E-04    0.0000000000E+00
