 # Energia   DOS_Total   Transmitancia
   -4.5000000000E+00    2.9760271364E-04    0.0000000000E+00
   -4.4977500000E+00    2.9811687421E-04    0.0000000000E+00
   -4.4955000000E+00    2.9863247787E-04    0.0000000000E+00
   -4.4932500000E+00    2.9914953028E-04    0.0000000000E+00
   -4.4910000000E+00    2.9966803710E-04    0.0000000000E+00
   -4.4887500000E+00    3.0018800406E-04    0.0000000000E+00
   -4.4865000000E+00    3.0070943687E-04    0.0000000000E+00
   -4.4842500000E+00    3.0123234132E-04    0.0000000000E+00
   -4.4820000000E+00    3.0175672318E-04    0.0000000000E+00
   -4.4797500000E+00    3.0228258829E-04    0.0000000000E+00
   -4.4775000000E+00    3.0280994250E-04    0.0000000000E+00
   -4.4752500000E+00    3.0333879168E-04    0.0000000000E+00
   -4.4730000000E+00    3.0386914175E-04    0.0000000000E+00
   -4.4707500000E+00    3.0440099865E-04    0.0000000000E+00
   -4.4685000000E+00    3.0493436836E-04    0.0000000000E+00
   -4.4662500000E+00    3.0546925687E-04    0.0000000000E+00
   -4.4640000000E+00    3.0600567022E-04    0.0000000000E+00
   -4.4617500000E+00    3.0654361446E-04    0.0000000000E+00
   -4.4595000000E+00    3.0708309571E-04    0.0000000000E+00
   -4.4572500000E+00    3.0762412007E-04    0.0000000000E+00
   -4.4550000000E+00    3.0816669371E-04    0.0000000000E+00
   -4.4527500000E+00    3.0871082282E-04    0.0000000000E+00
   -4.4505000000E+00    3.0925651362E-04    0.0000000000E+00
   -4.4482500000E+00    3.0980377235E-04    0.0000000000E+00
   -4.4460000000E+00    3.1035260530E-04    0.0000000000E+00
   -4.4437500000E+00    3.1090301880E-04    0.0000000000E+00
   -4.4415000000E+00    3.1145501918E-04    0.0000000000E+00
   -4.4392500000E+00    3.1200861283E-04    0.0000000000E+00
   -4.4370000000E+00    3.1256380616E-04    0.0000000000E+00
   -4.4347500000E+00    3.1312060562E-04    0.0000000000E+00
   -4.4325000000E+00    3.1367901770E-04    0.0000000000E+00
   -4.4302500000E+00    3.1423904891E-04    0.0000000000E+00
   -4.4280000000E+00    3.1480070579E-04    0.0000000000E+00
   -4.4257500000E+00    3.1536399492E-04    0.0000000000E+00
   -4.4235000000E+00    3.1592892293E-04    0.0000000000E+00
   -4.4212500000E+00    3.1649549647E-04    0.0000000000E+00
   -4.4190000000E+00    3.1706372222E-04    0.0000000000E+00
   -4.4167500000E+00    3.1763360689E-04    0.0000000000E+00
   -4.4145000000E+00    3.1820515726E-04    0.0000000000E+00
   -4.4122500000E+00    3.1877838010E-04    0.0000000000E+00
   -4.4100000000E+00    3.1935328224E-04    0.0000000000E+00
   -4.4077500000E+00    3.1992987055E-04    0.0000000000E+00
   -4.4055000000E+00    3.2050815192E-04    0.0000000000E+00
   -4.4032500000E+00    3.2108813329E-04    0.0000000000E+00
   -4.4010000000E+00    3.2166982163E-04    0.0000000000E+00
   -4.3987500000E+00    3.2225322395E-04    0.0000000000E+00
   -4.3965000000E+00    3.2283834728E-04    0.0000000000E+00
   -4.3942500000E+00    3.2342519871E-04    0.0000000000E+00
   -4.3920000000E+00    3.2401378536E-04    0.0000000000E+00
   -4.3897500000E+00    3.2460411439E-04    0.0000000000E+00
   -4.3875000000E+00    3.2519619299E-04    0.0000000000E+00
   -4.3852500000E+00    3.2579002838E-04    0.0000000000E+00
   -4.3830000000E+00    3.2638562786E-04    0.0000000000E+00
   -4.3807500000E+00    3.2698299871E-04    0.0000000000E+00
   -4.3785000000E+00    3.2758214829E-04    0.0000000000E+00
   -4.3762500000E+00    3.2818308399E-04    0.0000000000E+00
   -4.3740000000E+00    3.2878581323E-04    0.0000000000E+00
   -4.3717500000E+00    3.2939034348E-04    0.0000000000E+00
   -4.3695000000E+00    3.2999668224E-04    0.0000000000E+00
   -4.3672500000E+00    3.3060483707E-04    0.0000000000E+00
