 # Energia     LDOS_A(1lead)    LDOS_B(2leads)
  -5.0000000000000000        1.2242687930144989E-002   2.1952405943708255E-002
  -4.9950000000000001        1.2266265107018960E-002   2.1990301299136681E-002
  -4.9900000000000002        1.2289909544124140E-002   2.2028289603411036E-002
  -4.9850000000000003        1.2313621493962611E-002   2.2066371141560914E-002
  -4.9800000000000004        1.2337401210204867E-002   2.2104546199620118E-002
  -4.9749999999999996        1.2361248947696211E-002   2.2142815064630401E-002
  -4.9699999999999998        1.2385164962463172E-002   2.2181178024645205E-002
  -4.9649999999999999        1.2409149511719996E-002   2.2219635368733431E-002
  -4.9600000000000000        1.2433202853875140E-002   2.2258187386983225E-002
  -4.9550000000000001        1.2457325248537824E-002   2.2296834370505749E-002
  -4.9500000000000002        1.2481516956524641E-002   2.2335576611438975E-002
  -4.9450000000000003        1.2505778239866174E-002   2.2374414402951511E-002
  -4.9400000000000004        1.2530109361813667E-002   2.2413348039246411E-002
  -4.9349999999999996        1.2554510586845775E-002   2.2452377815565035E-002
  -4.9299999999999997        1.2578982180675274E-002   2.2491504028190862E-002
  -4.9249999999999998        1.2603524410255921E-002   2.2530726974453387E-002
  -4.9199999999999999        1.2628137543789263E-002   2.2570046952731987E-002
  -4.9150000000000000        1.2652821850731537E-002   2.2609464262459796E-002
  -4.9100000000000001        1.2677577601800600E-002   2.2648979204127617E-002
  -4.9050000000000002        1.2702405068982920E-002   2.2688592079287837E-002
  -4.9000000000000004        1.2727304525540571E-002   2.2728303190558349E-002
  -4.8949999999999996        1.2752276246018332E-002   2.2768112841626498E-002
  -4.8899999999999997        1.2777320506250767E-002   2.2808021337253001E-002
  -4.8849999999999998        1.2802437583369405E-002   2.2848028983275964E-002
  -4.8799999999999999        1.2827627755809921E-002   2.2888136086614830E-002
  -4.8750000000000000        1.2852891303319406E-002   2.2928342955274354E-002
  -4.8700000000000001        1.2878228506963643E-002   2.2968649898348639E-002
  -4.8650000000000002        1.2903639649134453E-002   2.3009057226025139E-002
  -4.8600000000000003        1.2929125013557070E-002   2.3049565249588674E-002
  -4.8550000000000004        1.2954684885297607E-002   2.3090174281425496E-002
  -4.8499999999999996        1.2980319550770506E-002   2.3130884635027323E-002
  -4.8449999999999998        1.3006029297746070E-002   2.3171696624995408E-002
  -4.8399999999999999        1.3031814415358056E-002   2.3212610567044642E-002
  -4.8350000000000000        1.3057675194111293E-002   2.3253626778007609E-002
  -4.8300000000000001        1.3083611925889360E-002   2.3294745575838740E-002
  -4.8250000000000002        1.3109624903962305E-002   2.3335967279618387E-002
  -4.8200000000000003        1.3135714422994405E-002   2.3377292209556973E-002
  -4.8150000000000004        1.3161880779052034E-002   2.3418720686999142E-002
  -4.8099999999999996        1.3188124269611487E-002   2.3460253034427919E-002
  -4.8049999999999997        1.3214445193566918E-002   2.3501889575468844E-002
  -4.7999999999999998        1.3240843851238342E-002   2.3543630634894210E-002
  -4.7949999999999999        1.3267320544379632E-002   2.3585476538627224E-002
  -4.7900000000000000        1.3293875576186606E-002   2.3627427613746220E-002
  -4.7850000000000001        1.3320509251305162E-002   2.3669484188488885E-002
  -4.7800000000000002        1.3347221875839456E-002   2.3711646592256497E-002
  -4.7750000000000004        1.3374013757360139E-002   2.3753915155618172E-002
  -4.7699999999999996        1.3400885204912654E-002   2.3796290210315124E-002
  -4.7649999999999997        1.3427836529025553E-002   2.3838772089264909E-002
  -4.7599999999999998        1.3454868041718929E-002   2.3881361126565765E-002
  -4.7549999999999999        1.3481980056512846E-002   2.3924057657500861E-002
  -4.7500000000000000        1.3509172888435849E-002   2.3966862018542659E-002
  -4.7450000000000001        1.3536446854033527E-002   2.4009774547357185E-002
  -4.7400000000000002        1.3563802271377118E-002   2.4052795582808390E-002
  -4.7350000000000003        1.3591239460072211E-002   2.4095925464962521E-002
  -4.7300000000000004        1.3618758741267436E-002   2.4139164535092437E-002
  -4.7249999999999996        1.3646360437663289E-002   2.4182513135682041E-002
  -4.7199999999999998        1.3674044873520938E-002   2.4225971610430597E-002
  -4.7149999999999999        1.3701812374671147E-002   2.4269540304257216E-002
  -4.7100000000000000        1.3729663268523245E-002   2.4313219563305191E-002
  -4.7050000000000001        1.3757597884074107E-002   2.4357009734946474E-002
  -4.7000000000000002        1.3785616551917269E-002   2.4400911167786102E-002
  -4.6950000000000003        1.3813719604252031E-002   2.4444924211666632E-002
  -4.6900000000000004        1.3841907374892685E-002   2.4489049217672625E-002
  -4.6849999999999996        1.3870180199277743E-002   2.4533286538135128E-002
  -4.6799999999999997        1.3898538414479257E-002   2.4577636526636120E-002
  -4.6749999999999998        1.3926982359212215E-002   2.4622099538013080E-002
  -4.6699999999999999        1.3955512373843969E-002   2.4666675928363448E-002
  -4.6650000000000000        1.3984128800403726E-002   2.4711366055049186E-002
  -4.6600000000000001        1.4012831982592126E-002   2.4756170276701281E-002
  -4.6550000000000002        1.4041622265790860E-002   2.4801088953224339E-002
  -4.6500000000000004        1.4070499997072369E-002   2.4846122445801123E-002
  -4.6449999999999996        1.4099465525209588E-002   2.4891271116897155E-002
  -4.6399999999999997        1.4128519200685754E-002   2.4936535330265245E-002
  -4.6349999999999998        1.4157661375704319E-002   2.4981915450950163E-002
  -4.6299999999999999        1.4186892404198875E-002   2.5027411845293231E-002
  -4.6250000000000000        1.4216212641843170E-002   2.5073024880936937E-002
  -4.6200000000000001        1.4245622446061189E-002   2.5118754926829572E-002
  -4.6150000000000002        1.4275122176037318E-002   2.5164602353229894E-002
  -4.6100000000000003        1.4304712192726516E-002   2.5210567531711792E-002
  -4.6050000000000004        1.4334392858864640E-002   2.5256650835168943E-002
  -4.5999999999999996        1.4364164538978780E-002   2.5302852637819537E-002
  -4.5949999999999998        1.4394027599397653E-002   2.5349173315210898E-002
  -4.5899999999999999        1.4423982408262141E-002   2.5395613244224312E-002
  -4.5850000000000000        1.4454029335535794E-002   2.5442172803079637E-002
  -4.5800000000000001        1.4484168753015494E-002   2.5488852371340121E-002
  -4.5750000000000002        1.4514401034342143E-002   2.5535652329917096E-002
  -4.5700000000000003        1.4544726555011432E-002   2.5582573061074764E-002
  -4.5650000000000004        1.4575145692384675E-002   2.5629614948434961E-002
  -4.5599999999999996        1.4605658825699735E-002   2.5676778376981943E-002
  -4.5549999999999997        1.4636266336081999E-002   2.5724063733067161E-002
  -4.5499999999999998        1.4666968606555451E-002   2.5771471404414107E-002
  -4.5449999999999999        1.4697766022053802E-002   2.5819001780123089E-002
  -4.5400000000000000        1.4728658969431679E-002   2.5866655250676083E-002
  -4.5350000000000001        1.4759647837475945E-002   2.5914432207941571E-002
  -4.5300000000000002        1.4790733016917027E-002   2.5962333045179392E-002
  -4.5250000000000004        1.4821914900440368E-002   2.6010358157045606E-002
  -4.5199999999999996        1.4853193882697931E-002   2.6058507939597363E-002
  -4.5149999999999997        1.4884570360319789E-002   2.6106782790297791E-002
  -4.5099999999999998        1.4916044731925799E-002   2.6155183108020900E-002
  -4.5049999999999999        1.4947617398137348E-002   2.6203709293056477E-002
  -4.5000000000000000        1.4979288761589162E-002   2.6252361747115021E-002
  -4.4950000000000001        1.5011059226941242E-002   2.6301140873332681E-002
  -4.4900000000000002        1.5042929200890813E-002   2.6350047076276147E-002
  -4.4850000000000003        1.5074899092184416E-002   2.6399080761947660E-002
  -4.4800000000000004        1.5106969311630044E-002   2.6448242337789956E-002
  -4.4749999999999996        1.5139140272109377E-002   2.6497532212691223E-002
  -4.4699999999999998        1.5171412388590086E-002   2.6546950796990081E-002
  -4.4649999999999999        1.5203786078138238E-002   2.6596498502480637E-002
