 # Energia   DOS_Total   Transmitancia
   -4.5000000000E+00    2.2484388320E-04    0.0000000000E+00
   -4.4977500000E+00    2.2515808988E-04    0.0000000000E+00
   -4.4955000000E+00    2.2547300599E-04    0.0000000000E+00
   -4.4932500000E+00    2.2578863375E-04    0.0000000000E+00
   -4.4910000000E+00    2.2610497543E-04    0.0000000000E+00
   -4.4887500000E+00    2.2642203329E-04    0.0000000000E+00
   -4.4865000000E+00    2.2673980961E-04    0.0000000000E+00
   -4.4842500000E+00    2.2705830667E-04    0.0000000000E+00
   -4.4820000000E+00    2.2737752676E-04    0.0000000000E+00
   -4.4797500000E+00    2.2769747219E-04    0.0000000000E+00
   -4.4775000000E+00    2.2801814527E-04    0.0000000000E+00
   -4.4752500000E+00    2.2833954833E-04    0.0000000000E+00
   -4.4730000000E+00    2.2866168369E-04    0.0000000000E+00
   -4.4707500000E+00    2.2898455369E-04    0.0000000000E+00
   -4.4685000000E+00    2.2930816069E-04    0.0000000000E+00
   -4.4662500000E+00    2.2963250705E-04    0.0000000000E+00
   -4.4640000000E+00    2.2995759513E-04    0.0000000000E+00
   -4.4617500000E+00    2.3028342732E-04    0.0000000000E+00
   -4.4595000000E+00    2.3061000601E-04    0.0000000000E+00
   -4.4572500000E+00    2.3093733360E-04    0.0000000000E+00
   -4.4550000000E+00    2.3126541249E-04    0.0000000000E+00
   -4.4527500000E+00    2.3159424511E-04    0.0000000000E+00
   -4.4505000000E+00    2.3192383389E-04    0.0000000000E+00
   -4.4482500000E+00    2.3225418127E-04    0.0000000000E+00
   -4.4460000000E+00    2.3258528969E-04    0.0000000000E+00
   -4.4437500000E+00    2.3291716163E-04    0.0000000000E+00
   -4.4415000000E+00    2.3324979954E-04    0.0000000000E+00
   -4.4392500000E+00    2.3358320592E-04    0.0000000000E+00
   -4.4370000000E+00    2.3391738324E-04    0.0000000000E+00
   -4.4347500000E+00    2.3425233403E-04    0.0000000000E+00
   -4.4325000000E+00    2.3458806078E-04    0.0000000000E+00
   -4.4302500000E+00    2.3492456602E-04    0.0000000000E+00
   -4.4280000000E+00    2.3526185229E-04    0.0000000000E+00
   -4.4257500000E+00    2.3559992212E-04    0.0000000000E+00
   -4.4235000000E+00    2.3593877809E-04    0.0000000000E+00
   -4.4212500000E+00    2.3627842274E-04    0.0000000000E+00
   -4.4190000000E+00    2.3661885865E-04    0.0000000000E+00
   -4.4167500000E+00    2.3696008843E-04    0.0000000000E+00
   -4.4145000000E+00    2.3730211466E-04    0.0000000000E+00
   -4.4122500000E+00    2.3764493995E-04    0.0000000000E+00
   -4.4100000000E+00    2.3798856692E-04    0.0000000000E+00
   -4.4077500000E+00    2.3833299821E-04    0.0000000000E+00
   -4.4055000000E+00    2.3867823646E-04    0.0000000000E+00
   -4.4032500000E+00    2.3902428432E-04    0.0000000000E+00
   -4.4010000000E+00    2.3937114446E-04    0.0000000000E+00
   -4.3987500000E+00    2.3971881955E-04    0.0000000000E+00
   -4.3965000000E+00    2.4006731229E-04    0.0000000000E+00
   -4.3942500000E+00    2.4041662537E-04    0.0000000000E+00
   -4.3920000000E+00    2.4076676150E-04    0.0000000000E+00
   -4.3897500000E+00    2.4111772341E-04    0.0000000000E+00
   -4.3875000000E+00    2.4146951384E-04    0.0000000000E+00
   -4.3852500000E+00    2.4182213552E-04    0.0000000000E+00
   -4.3830000000E+00    2.4217559121E-04    0.0000000000E+00
   -4.3807500000E+00    2.4252988370E-04    0.0000000000E+00
   -4.3785000000E+00    2.4288501575E-04    0.0000000000E+00
   -4.3762500000E+00    2.4324099016E-04    0.0000000000E+00
   -4.3740000000E+00    2.4359780973E-04    0.0000000000E+00
   -4.3717500000E+00    2.4395547729E-04    0.0000000000E+00
   -4.3695000000E+00    2.4431399567E-04    0.0000000000E+00
   -4.3672500000E+00    2.4467336770E-04    0.0000000000E+00
   -4.3650000000E+00    2.4503359624E-04    0.0000000000E+00
   -4.3627500000E+00    2.4539468416E-04    0.0000000000E+00
   -4.3605000000E+00    2.4575663433E-04    0.0000000000E+00
   -4.3582500000E+00    2.4611944966E-04    0.0000000000E+00
   -4.3560000000E+00    2.4648313303E-04    0.0000000000E+00
   -4.3537500000E+00    2.4684768738E-04    0.0000000000E+00
   -4.3515000000E+00    2.4721311562E-04    0.0000000000E+00
   -4.3492500000E+00    2.4757942070E-04    0.0000000000E+00
   -4.3470000000E+00    2.4794660558E-04    0.0000000000E+00
   -4.3447500000E+00    2.4831467322E-04    0.0000000000E+00
   -4.3425000000E+00    2.4868362661E-04    0.0000000000E+00
   -4.3402500000E+00    2.4905346873E-04    0.0000000000E+00
   -4.3380000000E+00    2.4942420260E-04    0.0000000000E+00
   -4.3357500000E+00    2.4979583123E-04    0.0000000000E+00
   -4.3335000000E+00    2.5016835766E-04    0.0000000000E+00
   -4.3312500000E+00    2.5054178494E-04    0.0000000000E+00
   -4.3290000000E+00    2.5091611612E-04    0.0000000000E+00
   -4.3267500000E+00    2.5129135428E-04    0.0000000000E+00
   -4.3245000000E+00    2.5166750250E-04    0.0000000000E+00
   -4.3222500000E+00    2.5204456389E-04    0.0000000000E+00
   -4.3200000000E+00    2.5242254156E-04    0.0000000000E+00
   -4.3177500000E+00    2.5280143863E-04    0.0000000000E+00
   -4.3155000000E+00    2.5318125826E-04    0.0000000000E+00
   -4.3132500000E+00    2.5356200359E-04    0.0000000000E+00
   -4.3110000000E+00    2.5394367779E-04    0.0000000000E+00
   -4.3087500000E+00    2.5432628405E-04    0.0000000000E+00
   -4.3065000000E+00    2.5470982557E-04    0.0000000000E+00
   -4.3042500000E+00    2.5509430556E-04    0.0000000000E+00
   -4.3020000000E+00    2.5547972723E-04    0.0000000000E+00
   -4.2997500000E+00    2.5586609385E-04    0.0000000000E+00
   -4.2975000000E+00    2.5625340865E-04    0.0000000000E+00
   -4.2952500000E+00    2.5664167491E-04    0.0000000000E+00
   -4.2930000000E+00    2.5703089591E-04    0.0000000000E+00
   -4.2907500000E+00    2.5742107495E-04    0.0000000000E+00
   -4.2885000000E+00    2.5781221535E-04    0.0000000000E+00
   -4.2862500000E+00    2.5820432043E-04    0.0000000000E+00
   -4.2840000000E+00    2.5859739353E-04    0.0000000000E+00
   -4.2817500000E+00    2.5899143802E-04    0.0000000000E+00
   -4.2795000000E+00    2.5938645726E-04    0.0000000000E+00
   -4.2772500000E+00    2.5978245465E-04    0.0000000000E+00
   -4.2750000000E+00    2.6017943359E-04    0.0000000000E+00
   -4.2727500000E+00    2.6057739750E-04    0.0000000000E+00
   -4.2705000000E+00    2.6097634981E-04    0.0000000000E+00
   -4.2682500000E+00    2.6137629396E-04    0.0000000000E+00
   -4.2660000000E+00    2.6177723344E-04    0.0000000000E+00
   -4.2637500000E+00    2.6217917171E-04    0.0000000000E+00
   -4.2615000000E+00    2.6258211228E-04    0.0000000000E+00
   -4.2592500000E+00    2.6298605865E-04    0.0000000000E+00
   -4.2570000000E+00    2.6339101436E-04    0.0000000000E+00
   -4.2547500000E+00    2.6379698295E-04    0.0000000000E+00
   -4.2525000000E+00    2.6420396798E-04    0.0000000000E+00
   -4.2502500000E+00    2.6461197303E-04    0.0000000000E+00
   -4.2480000000E+00    2.6502100168E-04    0.0000000000E+00
   -4.2457500000E+00    2.6543105756E-04    0.0000000000E+00
   -4.2435000000E+00    2.6584214428E-04    0.0000000000E+00
   -4.2412500000E+00    2.6625426549E-04    0.0000000000E+00
   -4.2390000000E+00    2.6666742484E-04    0.0000000000E+00
   -4.2367500000E+00    2.6708162602E-04    0.0000000000E+00
   -4.2345000000E+00    2.6749687271E-04    0.0000000000E+00
   -4.2322500000E+00    2.6791316863E-04    0.0000000000E+00
   -4.2300000000E+00    2.6833051750E-04    0.0000000000E+00
   -4.2277500000E+00    2.6874892306E-04    0.0000000000E+00
   -4.2255000000E+00    2.6916838908E-04    0.0000000000E+00
   -4.2232500000E+00    2.6958891933E-04    0.0000000000E+00
   -4.2210000000E+00    2.7001051761E-04    0.0000000000E+00
   -4.2187500000E+00    2.7043318773E-04    0.0000000000E+00
   -4.2165000000E+00    2.7085693353E-04    0.0000000000E+00
   -4.2142500000E+00    2.7128175885E-04    0.0000000000E+00
   -4.2120000000E+00    2.7170766756E-04    0.0000000000E+00
