 # Energia   DOS_Total   Transmitancia
   -4.5000000000E+00    2.2439422958E-04    0.0000000000E+00
   -4.4977500000E+00    2.2470677052E-04    0.0000000000E+00
   -4.4955000000E+00    2.2502001407E-04    0.0000000000E+00
   -4.4932500000E+00    2.2533396244E-04    0.0000000000E+00
   -4.4910000000E+00    2.2564861785E-04    0.0000000000E+00
   -4.4887500000E+00    2.2596398255E-04    0.0000000000E+00
   -4.4865000000E+00    2.2628005878E-04    0.0000000000E+00
   -4.4842500000E+00    2.2659684877E-04    0.0000000000E+00
   -4.4820000000E+00    2.2691435481E-04    0.0000000000E+00
   -4.4797500000E+00    2.2723257915E-04    0.0000000000E+00
   -4.4775000000E+00    2.2755152407E-04    0.0000000000E+00
   -4.4752500000E+00    2.2787119187E-04    0.0000000000E+00
   -4.4730000000E+00    2.2819158484E-04    0.0000000000E+00
   -4.4707500000E+00    2.2851270528E-04    0.0000000000E+00
   -4.4685000000E+00    2.2883455553E-04    0.0000000000E+00
   -4.4662500000E+00    2.2915713789E-04    0.0000000000E+00
   -4.4640000000E+00    2.2948045471E-04    0.0000000000E+00
   -4.4617500000E+00    2.2980450834E-04    0.0000000000E+00
   -4.4595000000E+00    2.3012930113E-04    0.0000000000E+00
   -4.4572500000E+00    2.3045483544E-04    0.0000000000E+00
   -4.4550000000E+00    2.3078111365E-04    0.0000000000E+00
   -4.4527500000E+00    2.3110813815E-04    0.0000000000E+00
   -4.4505000000E+00    2.3143591133E-04    0.0000000000E+00
   -4.4482500000E+00    2.3176443558E-04    0.0000000000E+00
   -4.4460000000E+00    2.3209371334E-04    0.0000000000E+00
   -4.4437500000E+00    2.3242374702E-04    0.0000000000E+00
   -4.4415000000E+00    2.3275453906E-04    0.0000000000E+00
   -4.4392500000E+00    2.3308609190E-04    0.0000000000E+00
   -4.4370000000E+00    2.3341840800E-04    0.0000000000E+00
   -4.4347500000E+00    2.3375148982E-04    0.0000000000E+00
   -4.4325000000E+00    2.3408533984E-04    0.0000000000E+00
   -4.4302500000E+00    2.3441996054E-04    0.0000000000E+00
   -4.4280000000E+00    2.3475535443E-04    0.0000000000E+00
   -4.4257500000E+00    2.3509152400E-04    0.0000000000E+00
   -4.4235000000E+00    2.3542847177E-04    0.0000000000E+00
   -4.4212500000E+00    2.3576620028E-04    0.0000000000E+00
   -4.4190000000E+00    2.3610471206E-04    0.0000000000E+00
   -4.4167500000E+00    2.3644400966E-04    0.0000000000E+00
   -4.4145000000E+00    2.3678409565E-04    0.0000000000E+00
   -4.4122500000E+00    2.3712497258E-04    0.0000000000E+00
   -4.4100000000E+00    2.3746664304E-04    0.0000000000E+00
   -4.4077500000E+00    2.3780910963E-04    0.0000000000E+00
   -4.4055000000E+00    2.3815237495E-04    0.0000000000E+00
   -4.4032500000E+00    2.3849644161E-04    0.0000000000E+00
   -4.4010000000E+00    2.3884131224E-04    0.0000000000E+00
   -4.3987500000E+00    2.3918698947E-04    0.0000000000E+00
   -4.3965000000E+00    2.3953347595E-04    0.0000000000E+00
   -4.3942500000E+00    2.3988077435E-04    0.0000000000E+00
   -4.3920000000E+00    2.4022888733E-04    0.0000000000E+00
   -4.3897500000E+00    2.4057781757E-04    0.0000000000E+00
   -4.3875000000E+00    2.4092756777E-04    0.0000000000E+00
   -4.3852500000E+00    2.4127814063E-04    0.0000000000E+00
   -4.3830000000E+00    2.4162953886E-04    0.0000000000E+00
